Continente,Nombre,Solar (MWh),Plantas Solares,Eólica (MWh),Plantas Eólicas,Hidráulica (MWh),Plantas Hidráulicas,Biomasa (MWh),Plantas Biomasa,Reducción Gases (tonCO2),Dependencia Combustibles,Políticas Necesarias,Beneficios Económicos,Beneficios Medioambientales,Beneficios Sociales
Europe,Islandia,10000,"Planta Solar Reykjavik",50000,"Parque Eólico Hellisheiði",120000,"Central Hidroeléctrica Blanda,Central Hidroeléctrica Fljótsdalur",5000,"Planta de Biomasa Akureyri",200000,Muy baja,"Promoción de investigación en energías renovables,Ampliación de infraestructura para almacenamiento de energía","Reducción de costos energéticos y creación de empleos verdes","Preservación de ecosistemas y reducción de emisiones de CO2","Mayor independencia energética y mejora de la calidad de vida"
Europe,Irlanda,20000,"Parque Solar Cork",70000,"Parque Eólico Arklow Bank",15000,"Central Hidroeléctrica Erne",10000,"Planta de Biomasa Shannon",150000,Moderada,"Incentivos para vehículos eléctricos,Expansión de proyectos eólicos offshore","Incremento de inversiones extranjeras en energía","Disminución de contaminantes atmosféricos","Creación de nuevas oportunidades laborales"
Europe,Reino Unido,100000,"Parque Solar West Raynham",250000,"Parque Eólico Hornsea,Parque Eólico Dogger Bank",40000,"Central Hidroeléctrica Dinorwig",120000,"Planta de Biomasa Drax",500000,Moderada,"Subsidios para energías renovables,Regulaciones más estrictas para industrias contaminantes","Diversificación del sector energético y estabilidad a largo plazo","Protección de recursos naturales","Reducción de la pobreza energética"
Europe,Noruega,8000,"Planta Solar Oslo",60000,"Parque Eólico Fosen",200000,"Central Hidroeléctrica Rjukan,Central Hidroeléctrica Suldal",15000,"Planta de Biomasa Bergen",300000,Baja,"Exportación de tecnologías limpias,Desarrollo de energía geotérmica","Liderazgo en el mercado energético europeo","Conservación de la biodiversidad","Fortalecimiento de la economía local"
Europe,Suecia,50000,"Planta Solar Värmland",180000,"Parque Eólico Markbygden",160000,"Central Hidroeléctrica Harsprånget",100000,"Planta de Biomasa Örnsköldsvik",400000,Baja,"Fomentar la electrificación del transporte,Subvenciones a la investigación de nuevas tecnologías renovables","Crecimiento del sector energético renovable","Reducción significativa de las emisiones de carbono","Mejoras en la calidad del aire y en la salud pública"
Europe,España,35000000,"Planta Solar de Andasol,Planta Solar de Cervera",55000000,"Parque Eólico El Andévalo,Parque Eólico Maranchón",30000000,"Central Hidroeléctrica de Aldeadávila,Central Hidroeléctrica de Mequinenza",8000000,"Planta de Biomasa de Sangüesa",75000000,Moderada,"Ampliación de infraestructura de energía renovable,Promoción de autoconsumo y comunidades energéticas","Incremento en exportaciones de tecnología verde","Reducción de contaminación y emisiones","Creación de empleo en zonas rurales"
Europe,Grecia,15000000,"Parque Solar Helios",20000000,"Parque Eólico de Kafireas",7000000,"Central Hidroeléctrica de Aliakmon",2000000,"Planta de Biomasa de Drama",25000000,Alta,"Mejorar incentivos para energía renovable,Reducir dependencia de lignito","Aumento del turismo sostenible","Protección de la biodiversidad","Reducción de costes energéticos para la población"
Europe,Austria,12000000,"Planta Solar de Nickelsdorf",15000000,"Parque Eólico de Burgenland",60000000,"Central Hidroeléctrica de Kaprun,Central Hidroeléctrica de Freudenau",5000000,"Planta de Biomasa de Güssing",45000000,Baja,"Inversión en almacenamiento energético,Fomentar la electrificación del transporte","Menor dependencia de importaciones energéticas","Reducción significativa de emisiones","Impulso al desarrollo rural"
Europe,Suiza,10000000,"Planta Solar Monte Rosa",2000000,"Parque Eólico de Juvent",58000000,"Central Hidroeléctrica de Grimsel,Central Hidroeléctrica de Grand Dixence",3000000,"Planta de Biomasa Zürich",35000000,Muy baja,"Aumentar la capacidad solar en techos urbanos,Inversión en redes inteligentes","Mayor estabilidad energética","Protección de los Alpes","Innovación tecnológica y calidad de vida"
Europe,Alemania,60000000,"Planta Solar de Neuhardenberg",120000000,"Parque Eólico del Mar del Norte",22000000,"Central Hidroeléctrica de Goldisthal",40000000,"Planta de Biomasa de Straubing",200000000,Moderada,"Ampliación de la energía eólica marina,Fomento de la economía circular","Liderazgo en exportaciones tecnológicas","Reducción de emisiones globales","Avances en movilidad sostenible"
